ENTITY_STABLE_ID	NAME	DESCRIPTION	AHB_25	AHB_23	AHB_45	AHB_6	AHB_9	AHB_44	AHB_1	AHB_10	AHB_33	AHB_20	AHB_38	AHB_7	AHB_36	AHB_13	AHB_28	AHB_57	AHB_49	AHB_73	AHB_69	AHB_34	AHB_32	AHB_8	AHB_12	AHB_16	AHB_60	AHB_58	AHB_59	AHB_55	AHB_3	AHB_54	AHB_43	AHB_39	AHB_68	AHB_52	AHB_2	AHB_71	AHB_74	AHB_22	AHB_30	AHB_24	AHB_27	AHB_42	AHB_11	AHB_61	AHB_50	AHB_48	AHB_18	AHB_56	AHB_72	AHB_15	AHB_51	AHB_21	AHB_4	AHB_19	AHB_37	AHB_47	AHB_31	AHB_5	AHB_75	AHB_65	AHB_26	AHB_35	AHB_40	AHB_14	AHB_53	AHB_70	AHB_66	AHB_63	AHB_64	AHB_67	AHB_62	AHB_29	AHB_46
1p_status	1p	Copy number status of 1p	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Gain	Loss	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Loss	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain
1q_status	1q	Copy number status of 1q	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Loss	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain
2p_status	2p	Copy number status of 2p	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
2q_status	2q	Copy number status of 2q	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
3p_status	3p	Copy number status of 3p	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged
3q_status	3q	Copy number status of 3q	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged
4p_status	4p	Copy number status of 4p	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
4q_status	4q	Copy number status of 4q	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
5p_status	5p	Copy number status of 5p	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	Loss	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Gain	Gain	Gain	Unchanged
5q_status	5q	Copy number status of 5q	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
